staff_id,department,current_role,current_skills,target_department,target_role,required_skills,seniority_years,recent_training_hours,performance_rating,avg_salary_usd,recent_ot_hours
STF-00001,Treasury & Markets,Treasury Analyst,"forex_ops,data_analytics,treasury_ops,credit_risk,aml_compliance",Treasury & Markets,Markets Associate,"data_analytics,forex_ops,credit_risk,it_support",2.8,13.0,3,406.49,9.8
STF-00002,Retail Banking,Customer Service Rep,"teller_ops,branch_management,customer_service,sales_advisory,aml_compliance",Retail Banking,Branch Supervisor,"customer_service,branch_management,sales_advisory",2.5,20.0,4,710.88,1.8
STF-00003,Digital & IT,IT Support Analyst,"digital_banking,cybersecurity",Digital & IT,IT Support Analyst,"cybersecurity,digital_banking,it_support",4.9,11.0,4,758.62,4.8
STF-00004,Private & Wealth,Wealth Advisor,"customer_service,leadership,sales_advisory,wealth_management,data_analytics",Private & Wealth,Relationship Manager,"sales_advisory,leadership",6.3,22.0,4,706.79,4.8
STF-00005,Retail Banking,Branch Supervisor,"customer_service,branch_management,sales_advisory",Private & Wealth,Wealth Advisor,"sales_advisory,leadership,credit_risk",5.4,18.0,4,737.16,5.8
STF-00006,Private & Wealth,Private Banker,"sales_advisory,wealth_management,customer_service,leadership,aml_compliance",Compliance & Risk,AML Investigator,"cybersecurity,credit_risk",6.9,15.0,3,644.61,5.1
STF-00007,Treasury & Markets,FX Dealer,"data_analytics,treasury_ops,forex_ops",Treasury & Markets,Treasury Analyst,"data_analytics,forex_ops,wealth_management",0.1,12.0,3,633.15,7.6
STF-00008,Retail Banking,Branch Supervisor,"sales_advisory,branch_management",Retail Banking,Branch Officer,"customer_service,sales_advisory",2.9,20.0,3,422.65,11.9
STF-00009,Compliance & Risk,AML Investigator,"credit_risk,aml_compliance,leadership,cybersecurity",Compliance & Risk,Risk Analyst,"leadership,aml_compliance,cybersecurity,teller_ops",4.3,23.0,2,843.68,2.2
STF-00010,Digital & IT,Systems Administrator,"data_analytics,it_support",Retail Banking,Teller,"teller_ops,customer_service,branch_management",2.5,18.0,2,832.56,6.6
STF-00011,Retail Banking,Teller,"teller_ops,customer_service,branch_management,sales_advisory",Private & Wealth,Private Banker,"wealth_management,customer_service",4.8,20.0,2,653.04,9.1
STF-00012,Private & Wealth,Private Banker,"customer_service,sales_advisory,leadership,wealth_management,credit_risk",Compliance & Risk,AML Investigator,"credit_risk,aml_compliance,cybersecurity",20.7,14.0,3,1038.99,7.9
STF-00013,Treasury & Markets,FX Dealer,"credit_risk,data_analytics,it_support",Compliance & Risk,Compliance Officer,"credit_risk,leadership,cybersecurity",3.5,15.0,3,576.53,0.0
STF-00014,Compliance & Risk,Risk Analyst,"aml_compliance,cybersecurity,credit_risk,leadership,forex_ops",Compliance & Risk,AML Investigator,"aml_compliance,cybersecurity",8.7,15.0,4,904.03,7.0
STF-00015,Private & Wealth,Wealth Advisor,"customer_service,sales_advisory,leadership,wealth_management",Treasury & Markets,Markets Associate,"treasury_ops,data_analytics",1.4,23.0,4,446.02,7.7
STF-00016,Private & Wealth,Relationship Manager,"customer_service,wealth_management,sales_advisory,leadership,credit_risk",Treasury & Markets,Treasury Analyst,"treasury_ops,credit_risk,forex_ops,data_analytics",2.9,23.0,2,578.46,4.7
STF-00017,Retail Banking,Customer Service Rep,"teller_ops,sales_advisory,customer_service",Compliance & Risk,Compliance Officer,"leadership,credit_risk,cybersecurity",1.2,16.0,4,733.26,9.1
STF-00018,Treasury & Markets,FX Dealer,"forex_ops,credit_risk,treasury_ops,sales_advisory",Treasury & Markets,FX Dealer,"data_analytics,credit_risk,forex_ops,leadership",4.2,20.0,4,796.29,9.7
STF-00019,Treasury & Markets,FX Dealer,"forex_ops,credit_risk,treasury_ops,data_analytics",Private & Wealth,Private Banker,"customer_service,leadership,wealth_management",2.6,19.0,2,576.34,12.3
